geo_uid,ct_name,avg_value_dwellings_2011,avg_rent_monthly_2011,avg_income_2011,avg_income_monthly_2011,pct_income_spent_rent_2011,years_to_save,advocados_rent
9330183.07,183.07,560356,922,42317,3526.42,26.15,5.05,200.43
9330059.12,59.12,562112,1581,49942,4161.83,37.99,5.07,343.7
9330187.13,187.13,562298,933,32139,2678.25,34.84,5.08,202.83
9330161.02,161.02,562468,839,41542,3461.83,24.24,5.08,182.39
9330111.03,111.03,562690,1416,44149,3679.08,38.49,5.08,307.83
9330282.01,282.01,563433,951,35844,2987,31.84,5.10,206.74
9330038,38,564773,954,41238,3436.5,27.76,5.12,207.39
9330161.03,161.03,565243,1056,42826,3568.83,29.59,5.13,229.57
9330160.04,160.04,565475,1018,49214,4101.17,24.82,5.13,221.3
9330055.01,55.01,565687,924,30596,2549.67,36.24,5.13,200.87
9330185.17,185.17,566975,944,45154,3762.83,25.09,5.15,205.22
9330283,283,567710,988,34671,2889.25,34.2,5.17,214.78
9330162.01,162.01,568292,1024,45043,3753.58,27.28,5.17,222.61
9330001.02,1.02,569175,886,35257,2938.08,30.16,5.19,192.61
9330287.01,287.01,572027,1137,36516,3043,37.36,5.24,247.17
9330185.22,185.22,575084,646,22916,1909.67,33.83,5.29,140.43
9330287.06,287.06,575217,839,32177,2681.42,31.29,5.29,182.39
9330287.11,287.11,577975,1056,42352,3529.33,29.92,5.33,229.57
9330061,61,578405,1095,41138,3428.17,31.94,5.34,238.04
9330400.04,400.04,578419,1208,45759,3813.25,31.68,5.34,262.61
9330185.07,185.07,580665,781,31962,2663.5,29.32,5.38,169.78
9330141.02,141.02,582045,1463,51526,4293.83,34.07,5.40,318.04
9330184.15,184.15,589883,753,31479,2623.25,28.7,5.53,163.7
9330290.04,290.04,591126,1174,50226,4185.5,28.05,5.55,255.22
9330161.05,161.05,592813,953,44450,3704.17,25.73,5.57,207.17
9330188.04,188.04,596156,873,32865,2738.75,31.88,5.63,189.78
9330260.04,260.04,596686,1321,43954,3662.83,36.06,5.64,287.17
9330404.02,404.02,597046,1454,51155,4262.92,34.11,5.64,316.09
9330151.05,151.05,597549,1050,30489,2540.75,41.33,5.65,228.26
9330184.06,184.06,598939,695,31723,2643.58,26.29,5.67,151.09
9330222.01,222.01,605153,1030,33742,2811.83,36.63,5.77,223.91
9330505.01,505.01,605464,1020,46359,3863.25,26.4,5.78,221.74
9330504.11,504.11,606746,1559,41155,3429.58,45.46,5.80,338.91
9330501.03,501.03,608137,849,37053,3087.75,27.5,5.82,184.57
9330016.04,16.04,608809,872,29156,2429.67,35.89,5.83,189.57
9330103,103,610360,1082,41175,3431.25,31.53,5.86,235.22
9330239,239,615210,1213,37235,3102.92,39.09,5.94,263.7
9330404.01,404.01,615390,1144,39171,3264.25,35.05,5.94,248.7
9330284.02,284.02,615437,1010,40206,3350.5,30.14,5.94,219.57
9330161.06,161.06,615902,1205,51684,4307,27.98,5.95,261.96
9330504.12,504.12,616174,1407,43454,3621.17,38.85,5.95,305.87
9330147.01,147.01,619651,1344,28987,2415.58,55.64,6.01,292.17
9330501.01,501.01,622236,869,44221,3685.08,23.58,6.05,188.91
9330149.08,149.08,622570,1070,35640,2970,36.03,6.06,232.61
9330243.02,243.02,623537,1213,43273,3606.08,33.64,6.07,263.7
9330184.1,184.1,624219,769,31979,2664.92,28.86,6.08,167.17
9330049.01,49.01,624346,1370,59637,4969.75,27.57,6.09,297.83
9330170.07,170.07,624640,1217,43848,3654,33.31,6.09,264.57
9330223.02,223.02,629427,981,27410,2284.17,42.95,6.17,213.26
9330182.05,182.05,631821,1000,37160,3096.67,32.29,6.21,217.39
9330181.1,181.1,633753,1005,46233,3852.75,26.09,6.24,218.48
9330056.02,56.02,634917,970,40382,3365.17,28.82,6.26,210.87
9330203,203,635430,905,42345,3528.75,25.65,6.27,196.74
9330041.01,41.01,641023,1182,50687,4223.92,27.98,6.36,256.96
9330102,102,642006,1268,41913,3492.75,36.3,6.37,275.65
9330049.02,49.02,644191,1174,59199,4933.25,23.8,6.41,255.22
9330201,201,645186,900,31834,2652.83,33.93,6.42,195.65
9330162.04,162.04,649623,1186,46868,3905.67,30.37,6.50,257.83
9330182.02,182.02,650481,1280,52067,4338.92,29.5,6.51,278.26
9330287.13,287.13,653851,1254,34910,2909.17,43.11,6.57,272.61
9330220,220,653960,1046,30462,2538.5,41.21,6.57,227.39
9330046,46,656736,1072,46367,3863.92,27.74,6.61,233.04
9330280,280,658438,950,42910,3575.83,26.57,6.64,206.52
9330002.01,2.01,659173,944,39784,3315.33,28.47,6.65,205.22
9330100.02,100.02,659410,1138,43948,3662.33,31.07,6.66,247.39
9330188.08,188.08,660470,1334,38084,3173.67,42.03,6.67,290
9330059.06,59.06,660693,826,42455,3537.92,23.35,6.68,179.57
9330229,229,661763,1016,36159,3013.25,33.72,6.69,220.87
9330182.03,182.03,664921,891,40368,3364,26.49,6.75,193.7
9330144.04,144.04,666434,1077,32046,2670.5,40.33,6.77,234.13
9330208,208,666741,707,48537,4044.75,17.48,6.78,153.7
9330151.06,151.06,667662,1197,30203,2516.92,47.56,6.79,260.22
9330057.02,57.02,668412,695,27137,2261.42,30.73,6.80,151.09
9330188.02,188.02,670129,1151,32214,2684.5,42.88,6.83,250.22
9330286.01,286.01,670377,1177,40799,3399.92,34.62,6.83,255.87
9330151.08,151.08,670748,1268,29093,2424.42,52.3,6.84,275.65
9330400.02,400.02,671083,1170,43110,3592.5,32.57,6.85,254.35
9330150,150,671858,0,41114,3426.17,0,6.86,0
9330502.06,502.06,671955,976,49383,4115.25,23.72,6.86,212.17
9330016.05,16.05,672751,858,25895,2157.92,39.76,6.87,186.52
9330140.04,140.04,673733,1300,40109,3342.42,38.89,6.89,282.61
9330237,237,679795,1101,36050,3004.17,36.65,6.99,239.35
9330286.03,286.03,680469,1131,51899,4324.92,26.15,7.00,245.87
9330281.01,281.01,681254,1145,45880,3823.33,29.95,7.01,248.91
9330187.07,187.07,685746,955,39526,3293.83,28.99,7.08,207.61
9330184.13,184.13,687763,746,44771,3730.92,20,7.12,162.17
9330184.11,184.11,690981,789,34841,2903.42,27.17,7.17,171.52
9330000,0,691550,1054,41031,3419.25,30.83,7.18,229.13
9330182.04,182.04,691591,517,40737,3394.75,15.23,7.18,112.39
9330181.13,181.13,694186,768,47505,3958.75,19.4,7.22,166.96
9330140.02,140.02,698712,1196,68761,5730.08,20.87,7.30,260
9330035.02,35.02,699945,894,31903,2658.58,33.63,7.32,194.35
9330032,32,700214,1062,33903,2825.25,37.59,7.32,230.87
9330160.02,160.02,700507,1052,51002,4250.17,24.75,7.32,228.7
9330500,500,702066,1010,37052,3087.67,32.71,7.35,219.57
9330234,234,703694,1040,35779,2981.58,34.88,7.38,226.09
9330037.02,37.02,704636,953,32955,2746.25,34.7,7.39,207.17
9330230.02,230.02,705300,832,30518,2543.17,32.72,7.40,180.87
9330224.02,224.02,705755,789,26809,2234.08,35.32,7.41,171.52
9330017.02,17.02,708179,885,26833,2236.08,39.58,7.45,192.39
9330068,68,711013,1033,45439,3786.58,27.28,7.50,224.57
9330039.01,39.01,711234,1034,47276,3939.67,26.25,7.50,224.78
9330230.01,230.01,711924,1142,48435,4036.25,28.29,7.51,248.26
9330260.08,260.08,714967,1851,62637,5219.75,35.46,7.56,402.39
9330504.09,504.09,715820,1405,44358,3696.5,38.01,7.57,305.43
9330287.12,287.12,718150,1435,39960,3330,43.09,7.61,311.96
9330146,146,719867,1114,32291,2690.92,41.4,7.64,242.17
9330240.02,240.02,721583,1052,33652,2804.33,37.51,7.67,228.7
9330160.03,160.03,723934,1034,52295,4357.92,23.73,7.71,224.78
9330034.02,34.02,724306,1051,31374,2614.5,40.2,7.71,228.48
9330238.01,238.01,725377,1464,35373,2947.75,49.66,7.73,318.26
9330113,113,725621,1053,42989,3582.42,29.39,7.73,228.91
9330142.01,142.01,728176,1260,40476,3373,37.36,7.77,273.91
9330233,233,729372,996,30686,2557.17,38.95,7.79,216.52
9330058,58,730959,521,20738,1728.17,30.15,7.82,113.26
9330034.01,34.01,730980,896,25918,2159.83,41.48,7.82,194.78
9330285.02,285.02,731628,1137,49616,4134.67,27.5,7.83,247.17
9330287.02,287.02,734168,1093,44329,3694.08,29.59,7.87,237.61
9330016.01,16.01,734174,834,26170,2180.83,38.24,7.87,181.3
9330118,118,734460,1240,44854,3737.83,33.17,7.88,269.57
9330111.01,111.01,736540,1299,48305,4025.42,32.27,7.91,282.39
9330185.18,185.18,737682,781,39461,3288.42,23.75,7.93,169.78
9330501.02,501.02,737901,857,44533,3711.08,23.09,7.93,186.3
9330037.01,37.01,738447,985,35905,2992.08,32.92,7.94,214.13
9330053.02,53.02,738957,974,39279,3273.25,29.76,7.95,211.74
9330002.04,2.04,740553,1140,35869,2989.08,38.14,7.98,247.83
9330170.08,170.08,742425,1213,51936,4328,28.03,8.01,263.7
9330287.1,287.1,744561,1232,42371,3530.92,34.89,8.04,267.83
9330051.02,51.02,746402,897,33444,2787,32.19,8.07,195
9330052.02,52.02,746428,952,30526,2543.83,37.42,8.07,206.96
