geo_uid,ct_name,avg_income_2006,avg_rent_2006,avg_dwelling_cost_2006,years_to_save_2006,income_monthly_2006,pct_income_rent_2006,advocados_rent
9330017.01,17.01,25150,791,597114,6.40,2095.83,37.74,192.46
9330017.02,17.02,24330,709,489073,4.51,2027.5,34.97,172.51
9330018.01,18.01,23103,860,545608,5.45,1925.25,44.67,209.25
9330018.02,18.02,29252,817,570080,5.90,2437.67,33.52,198.78
9330019,19,30386,872,623525,6.89,2532.17,34.44,212.17
9330020,20,71412,1410,880442,11.62,5951,23.69,343.07
9330021,21,181744,1590,1667072,61.46,15145.33,10.5,386.86
9330022,22,46571,1133,647072,7.32,3880.92,29.19,275.67
9330023,23,56738,1303,1017450,37.51,4728.17,27.56,317.03
9330024,24,68779,1361,1044719,38.52,5731.58,23.75,331.14
9330025,25,52477,1293,898547,11.96,4373.08,29.57,314.6
9330026,26,49243,1102,1009312,37.21,4103.58,26.85,268.13
9330027,27,48187,1464,916210,12.28,4015.58,36.46,356.2
9330028,28,70758,1281,1362675,50.24,5896.5,21.72,311.68
9330029,29,43857,1067,710693,8.49,3654.75,29.19,259.61
9330030,30,32768,819,623385,6.88,2730.67,29.99,199.27
9330031.01,31.01,41435,932,720114,8.67,3452.92,26.99,226.76
9330031.02,31.02,28415,895,557300,5.66,2367.92,37.8,217.76
9330032,32,26244,772,541345,5.37,2187,35.3,187.83
9330033,33,25257,799,542882,5.40,2104.75,37.96,194.4
9330034.01,34.01,25266,770,523692,5.05,2105.5,36.57,187.35
9330034.02,34.02,25753,839,549605,5.52,2146.08,39.09,204.14
9330035.01,35.01,23132,841,548513,5.50,1927.67,43.63,204.62
9330035.02,35.02,25660,750,525626,5.08,2138.33,35.07,182.48
9330036.01,36.01,25172,849,560835,5.73,2097.67,40.47,206.57
9330036.02,36.02,27199,802,610450,6.64,2266.58,35.38,195.13
9330037.01,37.01,27844,828,503666,4.68,2320.33,35.68,201.46
9330037.02,37.02,25048,740,439748,4.05,2087.33,35.45,180.05
9330038,38,28114,773,491633,4.53,2342.83,32.99,188.08
9330039.01,39.01,37312,836,514090,4.87,3109.33,26.89,203.41
9330039.02,39.02,43491,981,395817,3.65,3624.25,27.07,238.69
9330040.01,40.01,37008,882,410276,3.78,3084,28.6,214.6
9330040.02,40.02,38178,916,344932,3.18,3181.5,28.79,222.87
9330041.01,41.01,45156,987,422768,3.90,3763,26.23,240.15
9330041.02,41.02,45306,1136,604615,6.54,3775.5,30.09,276.4
9330042,42,45251,1141,790174,9.96,3770.92,30.26,277.62
9330043.01,43.01,54199,1199,906869,12.11,4516.58,26.55,291.73
9330043.02,43.02,57301,1330,1042693,38.44,4775.08,27.85,323.6
